k,LB,UB,gap,sum_ms,ms,added_nodes,UB_node,new_nodes,as_nodes
19,-2.4278749624133127,19.661061571004407,22.08893653341772,-22.088936533417677,"[-0.7161852006664341, -0.48414531520220616, -0.6127665133010693, -0.2732875644173063, -0.35479899759827327, -0.4695659366578053, -0.34007013432246225, -0.5465949952339937, -0.36711320258344204, -0.10823459493033305, -0.6635877810297777, -0.1992841341216971, -0.8597550410066439, -0.6388595608732817, -0.48620716443535517, -0.17986326758385052, -0.4728148588638511, -0.6260264745983435, -0.24412093631558826, -0.6653239487886249, -0.38684829010325994, -0.4366261511646419, -0.880166136178298, -0.4125238614210962, -0.6505530182876598, -0.902257449217486, -0.39121088651905833, -0.3559415869642655, -0.222064545433599, -0.16855318426860433, -0.11942102473381444, -0.2689814795964195, -0.56650721073116, -0.43262003009928085, -0.5728132555035226, -0.2336991954471498, -0.38414662795669563, -0.5628697830431828, -0.35450475330097, -0.09873535849770762, -0.44208672677247207, -0.5419464383362536, -0.21933381798438817, -0.1427373405404435, -0.26133763214125383, -0.20678653088419674, -0.700140933220958, -0.4982335635293118, -0.6495876344125635, -0.7170964645976228]","[0.5507874384453805, 0.36674008629302235, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.028036475268739532, 0.02803647467757294]","[3.7781784167019685, 2.1745472790918905, 0.7354874344016239, 0.4109009537379473, 0.7206830082229948, 0.6234113078391731, 0.3370163928900104, 0.23692440572494067, 1.5078397469107387, 1.8038344390571641, 1.859171214698232, 1.9165206112841804, 0.7402414644281395, 2.5408404269963607, 0.9737808751316579, 0.9809223126857962, 2.984273606274749, 1.4305054608179226, 0.684724168861178, 1.765258315602119, 2.8327816665050705, 1.767654915040136, 0.44165946668946415, 2.785242700253548, 0.4865636551899842, 3.1411625204215174, 3.456441898782217, 3.2698257253471485, 2.4013816410806363, 0.4952948181198406]"
20,0.9323731252956726,19.661061571004407,18.728688445708734,-18.72868844570869,"[-0.5022330525051375, -0.44149092678198754, -0.6137955582318579, -0.2732847270710588, -0.29754153915159853, -0.3022902370044226, -0.3400701116122934, -0.5510808258941255, -0.36712534696227395, -0.10727890935322865, -0.46867782438565553, -0.1759033995560535, -0.8569157888099985, -0.6388536018031733, -0.486206044373668, -0.17986404291956593, -0.3603587659713945, -0.5223926971629558, -0.13405463795398564, -0.6654826809104895, -0.3870824894042274, -0.3563505653077439, -0.8372210483237117, -0.2797910780904145, -0.4453486173290586, -0.4687350206129146, -0.3004037956170815, -0.3564310810696294, -0.2230426734837111, -0.1630438981695771, -0.11957621346045405, -0.2779571173401661, -0.4964838138696377, -0.22489405432389242, -0.2892838770976218, -0.23369909622843055, -0.2123147173462978, -0.324468046836734, -0.35654407655111253, -0.09877178425419114, -0.4143614130683748, -0.31652049777524005, -0.25038126644049297, -0.13745984503894748, -0.25017106105743914, -0.21150254598448853, -0.7021550507219356, -0.49628067911716245, -0.6495649733301312, -0.5639473300429446]","[6.816117981106595e-05, 0.13051981632903562, 0.5662378192840043]","[1.0, 1.0, 1.0]","[0.0, 0.0625963989519332, 0.06259639763185167]","[2.1305650231435607, 1.1821121367914202, 1.2480093681975033, 0.6801495570034932, 1.125259504290927, 0.6970717585543272, 0.8239402891167367, 0.4853974232020787, 1.4961765304256383, 1.7775410984818227, 1.8068551666040362, 1.7113126805004746, 0.8245112201682988, 1.8494134871702355, 0.9491833315207491, 0.9498142025709267, 1.6969648915224436, 1.187496324801681, 1.1963297276892981, 1.3256437673587578, 1.9962066903521467, 1.3245371243573412, 0.9342273774350673, 1.9426404841793443, 0.9316066569717395, 1.9986011269179937, 2.0667417335441254, 2.041699164075899, 1.6311888004889799, 1.0388328751041576]"
21,2.5625829785801137,19.661061571004407,17.098478592424293,-17.09847859242425,"[-0.49841710319827204, -0.4037720883643927, -0.6136957844399515, -0.21185825705866845, -0.3726516752355763, -0.28932644216992154, -0.3400700539639817, -0.5461241226518181, -0.3671174413884831, -0.07838288684263117, -0.4663007625718887, -0.13964649300135346, -0.8431774460239736, -0.4118607701323367, -0.48620740867292844, -0.17986413205379348, -0.35764599935863006, -0.5187639356761364, -0.13750869132288857, -0.5354206433675485, -0.21086079346970443, -0.35446794281162486, -0.8705602973426401, -0.26831093944954754, -0.4403020728267404, -0.43618330236985625, -0.2989752824548483, -0.2779706896222568, -0.19516371593668635, -0.11204934289840884, -0.09871678484441926, -0.17370540758067943, -0.4923508778357335, -0.23018842496617253, -0.28464113678431113, -0.21954137351602943, -0.2147909085938564, -0.317304676521887, -0.32982578194632484, -0.09867968552682538, -0.4108761552450373, -0.3215422322150536, -0.2373262883742876, -0.1374398518419181, -0.24200259223591558, -0.14448630750963531, -0.5053788470726978, -0.49568209944691677, -0.4566972972156995, -0.4246453464733597]","[0.014767703912088613, 0.0653503163556461, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.061416344722910264, 0.06141634342771461]","[5.217746861819355, 2.975306244339099, 1.045917394131235, 0.6781024113885317, 0.7881662380983891, 0.7234612007219902, 0.38089110590664177, 0.31645024300193003, 1.7141406323934945, 2.044856414530567, 2.133759619471078, 2.3109413772289007, 0.8724265289820746, 3.047433720789706, 1.1775698302831676, 1.1861405837716907, 4.137434677120826, 1.7598375637188788, 0.7503138478856236, 2.1758266693140365, 3.459016727360594, 2.1805814439490234, 0.6099502755742532, 3.5803738412613675, 0.7650832622598801, 4.01897595491563, 4.590233133018296, 4.35369299260274, 3.0256124033250966, 0.6202719408477939]"
22,3.2992610988383753,19.661061571004407,16.36180047216603,-16.36180047216599,"[-0.49834913846499873, -0.41395484443719033, -0.3283584462109317, -0.22051385835992177, -0.3292940188508678, -0.30220529165604504, -0.33974454713161484, -0.5302006532644903, -0.36710571844973816, -0.004889123199420808, -0.465439908456986, -0.15210576299395895, -0.8498705976705985, -0.6387951907712626, -0.4861850721960601, -0.1602538517801445, -0.2094305342836107, -0.518764023057547, -0.13776125219821056, -0.6654941374594866, -0.3514377104247528, -0.26355548733620293, -0.83154979706621, -0.24470221612177312, -0.44030181074050323, -0.4685771805594259, -0.29889071391804234, -0.28075542868601233, -0.188204624381476, -0.12303991183027418, -0.11258360605467854, -0.17372051027737712, -0.4923537166444467, -0.22502718265500388, -0.26178721443420905, -0.22702212772123853, -0.2193718490434029, -0.2610994503883721, -0.20581758272548378, -0.0891628867191763, -0.41087603532592154, -0.2576884562065763, -0.17355372955128545, -0.06964527255563302, -0.13157294189130841, -0.12106104768051273, -0.5962173212133908, -0.4582102634806089, -0.39690979396379955, -0.3683886316758065]","[0.0, 0.1297578548922506, 0.5690130630904989]","[1.0, 1.0, 1.0]","[0.0, 0.028093130255895354, 0.028093129670238654]","[2.9802127869805606, 1.321070164243506, 1.9788132739248656, 0.5936049665869831, 0.8735047608786245, 0.5207610504657723, 0.6602831986678745, 0.3676779700686343, 1.3376190542684447, 2.136306567862886, 2.241427690185732, 1.8807676995167515, 0.5875298545068149, 2.0631683396609812, 0.6947181651988409, 0.6968644923974423, 1.8296018718383322, 1.0048006544264576, 1.0966820822538257, 1.1028940320108065, 2.5472432786997996, 1.1030323226924386, 1.062314665519611, 2.4368359865756752, 1.1161381296570356, 2.5020604671243007, 2.7371844635593723, 2.7114425279676313, 1.5714596496544235, 1.1372295866843662]"
23,9.078338650246451,19.661061571004407,10.582722920757956,-10.582722920757913,"[-0.3269712866107275, -0.23385988060884455, -0.5213962343768468, -0.19661530537501037, -0.23465227462523874, -0.15355225799361505, -0.25459117521486385, -0.4598616151715873, -0.24640302805919445, -0.06662547761749871, -0.17244873267228789, -0.14203840355057296, -0.4486083006303736, -0.58101480564547, -0.04517137511820457, -0.1763564994159995, -0.08162920472617419, -0.27693634198635664, -0.06574905166642664, -0.10793558589759611, -0.15583972126973156, -0.16796668953051164, -0.46816514654508046, -0.18184607410838893, -0.17447546914095824, -0.410062835130828, -0.19286357641184626, -0.0571941125062182, -0.10763596162947675, -0.07944629875706988, -0.06022908522153214, -0.17370686798802693, -0.27468391719683516, -0.1430586606230051, -0.21087904229546472, -0.03605005886501367, -0.20448504177392812, -0.24149020205140737, -0.3301787284898501, -0.04792685479757913, -0.2882239715600894, -0.24477652947338813, -0.02258764686983794, -0.07101271117427754, -0.06716668078174098, -0.08891448381875405, -0.511519134419921, -0.1748455337328707, -0.24668762404645994, -0.3563874235849298]","[0.20822857697861447, 1.0, 0.20822857697861447]","[1.0, 1.0, 1.0]","[0.0, 0.028148662330686643, 0.028148661737154516]","[2.110614183221566, 0.6500099593935772, 2.056916577862125, 0.6650528730794094, 1.3319377282583007, 0.522680731160857, 1.3050990877178745, 0.5276277740486798, 1.4073778498596916, 2.063249577291975, 2.1114658252993674, 1.8203761466581563, 0.6089942681074707, 1.784842866846719, 0.6622528577327703, 0.6604036459451871, 1.2489214973987015, 0.8542916968537522, 1.6057778204750746, 0.9277152656619134, 2.095141770527639, 0.9251114927425061, 1.3136126516667783, 1.9856176687976852, 1.2030688534091503, 1.9548729126474926, 2.0346610517397843, 2.0524680351568976, 1.2927245796053257, 1.6833944512380048]"
24,11.73049268606026,19.661061571004407,7.930568884944147,-7.930568884944104,"[-0.34070780441291326, -0.12359337146383753, -0.47274538049302794, -0.004319468262430348, -0.07039088327435605, -0.3002635444035746, -0.1297496928431232, -0.24248855773965983, -0.2469480392589729, -0.004889474348203304, -0.2441071769314065, -0.10646975696502459, -0.47044037966072727, -0.1255191872261412, -0.04517087381913587, -0.07344119554903317, -0.22409276047345994, -0.3057998309732026, -0.21566565089251669, -0.030506472080295, -0.013529474106431572, -0.07359025779687478, -0.7245983723474323, -0.24034935193984341, -0.32279933954548756, -0.053656341603928404, -0.08239007742407889, -0.29285922020891886, -0.10762905989039218, -0.08592692511320044, -0.07676604568907441, -0.027873872085613538, -0.23689097388272895, -0.013078489665551363, -0.039608743742037156, -0.08459168565708697, -0.01303407350054897, -0.1504456116290186, -0.16049765281858508, -0.0578987327132906, -0.13516278391389736, -0.1868370536537345, -0.09730456773527862, -0.03448567484671172, -0.10072163513122923, -0.09639997892332075, -0.501060774781374, -0.034935106021595885, -0.03204719688395219, -0.07629031062183955]","[0.11679867990738307, 0.0, 0.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 0.41105985017229696]","[1.277593322633225, 0.8995994612078959, 1.0373676907530782, 0.6119267158388383, 0.7575686996429583, 0.5398255398920683, 0.6753653756500967, 0.43996789002090153, 0.9215603035068078, 1.1209831763976013, 1.1412097858645962, 1.0632786852036904, 0.6144313025027677, 1.1086298001452732, 0.6938895309972667, 0.6948636593655273, 1.0276791040247195, 0.7735725298345948, 0.8399880995531329, 0.8444914379762501, 1.210608777183007, 0.8444083591717008, 0.7578026104592549, 1.181536612745321, 0.7643915068056704, 1.1961280668656857, 1.2377206702962056, 1.232140697701446, 0.9806704469103897, 0.852135776458626]"
25,13.5441475532832,19.661061571004407,6.116914017721207,-6.116914017721165,"[-0.1901040045315474, -0.4067051771190885, -0.04573422340764344, -0.004318943507164885, -0.13616833553384833, -0.10047961307778852, -0.011293347791452746, -0.06311283992891292, -0.24450204105592988, -0.004889053250656139, -0.09067760970740402, -0.007830590270049509, -0.4191035869554902, -0.07321216192328617, -0.2913508449254032, -0.006872615018616024, -0.08162789974923923, -0.1292687215965902, -0.06626941679778375, -0.5332829751549808, -0.02717983977653593, -0.07358883962325535, -0.33245267701646375, -0.01859757011594443, -0.37892611739980353, -0.24718851026687783, -0.08494717354756842, -0.06560153421365533, -0.13920302729061673, -0.07865438251778234, -0.045583131029771184, -0.089870547335268, -0.1334133299027105, -0.013078524100946787, -0.03960641831019984, -0.09210040887638882, -0.14260763237837493, -0.050320731102076355, -0.16160645108575067, -0.02953820979685437, -0.09519865077071987, -0.07654567042097837, -0.09730455120394488, -0.006533459850131651, -0.027817603595779783, -0.12992736336584854, -0.18821095986382708, -0.11508963116177062, -0.14443264108285203, -0.08498442941559325]","[0.0, 1.0, 0.3337854007569862]","[1.0, 1.0, 1.0]","[0.0, 0.008877350431349339, 0.00887735024413687]","[2.9075048595002837, 1.8572571196530019, 1.1013013573861132, 0.8443170926786074, 0.5613883003721323, 0.5143040969769614, 0.4297111887264242, 0.36891611959302445, 1.550597055399416, 1.9391508215096096, 2.1304251883924716, 1.4238884996600762, 0.7180392266452118, 2.109226448142233, 0.967201182385027, 0.969586407570548, 2.3082505327944123, 1.0851089386551362, 0.7725527420907591, 1.447381946838204, 2.3581715125849745, 1.4486577791453867, 0.7567344455027095, 2.0879366510335413, 0.9793202224971216, 2.473266971164394, 2.68143778638639, 2.4790180379684728, 1.876784500377512, 0.7002286276835974]"
26,16.22907228315789,19.661061571004407,3.431989287846516,-3.4319892878464726,"[-0.10022536592210507, -0.12359179933526487, -0.16563039376388944, -0.07311009823087522, -0.0703905886541818, -0.05943429314773363, -0.011292400557819438, -0.06311243614613771, -0.010998361927160083, -0.0048891078352774064, -0.09067519642301436, -0.15210410072858804, -0.24014504170940576, -0.07321136815742424, -0.011914553933466188, -0.0068726110663897, -0.081626739232183, -0.12927233866021348, -0.05382742251477024, -0.03050791006452469, -0.01054792273881855, -0.07359169884686345, -0.33245196610003447, -0.018598813138062553, -0.07199673374651283, -0.03635047374744271, -0.08074999283682072, -0.04180220763743103, -0.10738830890335516, -0.01214201770904455, -0.00960735535989965, -0.02787348927915989, -0.1334124083165249, -0.013079024748576806, -0.03960564594201488, -0.012308110960640883, -0.013033041907542398, -0.05032401387339158, -0.09276045393724908, -0.025406237812898386, -0.09518735601982131, -0.32340241987261686, -0.01635978981743924, -0.006533745416250403, -0.027818352959014137, -0.04144274869364628, -0.022110587112023072, -0.034936479463897774, -0.032047068693043634, -0.07628869424601081]","[0.0, 0.03838182771254073, 0.038381826903114896]","[1.0, 1.0, 1.0]","[0.9472335488783994, 0.9475679451600727, 0.0]","[4.423364271902956, 2.548428415616972, 2.0493456312523572, 1.1611456643648848, 0.908982934306429, 0.737654126119291, 0.6432039270669517, 0.4962255547714361, 2.2455595703148594, 2.8646739649466437, 3.1113876245396743, 2.3064011557584836, 0.9970386800665615, 3.13833322871762, 1.335334560384339, 1.3383471871948072, 3.3330377205578445, 1.610449599999578, 1.164669086880024, 2.065058710611254, 3.578631286949891, 2.066341696067002, 1.2078466992647534, 3.2935551004068744, 1.5385641211456953, 3.726507353479618, 4.0615415218858955, 3.843662279177535, 2.7374113184536992, 1.1286251152011069]"
27,18.71492811795681,19.661061571004407,0.9461334530475973,-0.9461334530475546,"[-0.02606621376246432, -0.03166977752949496, -0.018688201088992606, -0.0012627877486397487, -0.01776456902485335, -0.01560741572956248, -0.0031885029803859766, -0.016617803229468375, -0.0030877134351607882, -0.0013070851568309783, -0.023683064731921277, -0.002286494757915536, -0.06274748162378074, -0.01880164934213191, -2.172654917753647e-06, -0.0029429965569298666, -0.021488679242491315, -0.033519170844220625, -0.01401880918365972, -2.4229038066980735e-06, -0.002863573154663568, -0.060421452800758335, -0.09286734458388057, -0.005345181341644523, -0.01926068704278494, -0.010419969858245892, -0.020542034078364857, -0.005371342948046642, -0.01707391679087933, -0.0033434760375348205, -0.002654327748258245, -0.007534587798811998, -0.03424500945127873, -0.07720186729449985, -0.010901354771014837, -0.052090138296098765, -0.0037969435184597167, -0.01337989148057872, -0.0038695004695532553, -0.000972802006310669, -0.02396590756831074, -0.052830909887385424, -0.004549873105763047, -0.04460661001025934, -0.00708212182248924, -0.010385101156457521, -0.006071474803857502, -0.009228888185324635, -0.008359519235259683, -0.020144634273150164]","[0.0, 0.018082996660517388, 0.01808299627916909]","[1.0, 1.0, 1.0]","[0.0, 0.008824494173477068, 0.008824493987379271]","[1.1775700709365735, 0.1629803731671267, 0.5067942887321365, 0.055665943018634076, 0.23323872180282812, 0.06371530370536796, 0.17238077506415933, 0.03839226687833023, 0.3319062924343344, 0.7015216006782183, 0.7401996973201553, 0.5966018189944557, 0.07944587321936486, 0.6653529687576739, 0.09881273909185154, 0.09891619831047926, 0.47356109167453425, 0.18332939053986952, 0.303797647998622, 0.22330463592118016, 0.9407819473214964, 0.22277065280148192, 0.16899035676349783, 0.8604378367922273, 0.14312723870693056, 0.8975006341606104, 1.0316062548278866, 1.0125974813054253, 0.4159115304521433, 0.2990291041967316]"
28,18.48040388314001,19.661061571004407,1.1806576878643966,-1.1806576878643555,"[-0.026062147533643998, -0.02997114349845109, -0.012150783101720464, -0.08756460388317366, -0.01776476237533453, -0.015609037368748524, -0.003189133942092859, -0.016617755518618438, -0.003087577724351309, -0.00029699191662158064, -0.023682727849053453, -0.0022863260203032088, -0.057067464326287176, -0.01246713849815162, -0.04517088113580625, -0.001956716039315465, -0.015337975817137472, -0.008481992032811192, -0.012860007278191365, -2.0782462952784186e-06, -0.0006342863554222866, -0.03819453819641305, -0.2174047915489119, -0.005344098149997034, -0.01926137831267072, -0.010419415645054997, -0.020544309216514067, -0.0053703991771481, -0.0044656985453983555, -0.0006995220287158155, -0.0005710564962385645, -0.08839863383565472, -0.008619001960005424, -0.003819766229287591, -0.01090057418394963, -0.0017649768598915205, -0.00524425697631381, -0.07464626350928749, -0.0038677075795012783, -0.0179024118607905, -0.02353257994645519, -0.01916293516074208, -0.004550389605692984, -0.026037213614726218, -0.0017309542198822303, -0.010303926916249928, -0.008100847256759192, -0.00922753249553776, -0.14365494069097218, -0.004656037184061823]","[0.052916130124146046, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0.40572827128662853, 1.0, 0.0]","[1.619009519944766, 0.18230147613841122, 1.642788064352181, 0.21626165337973602, 0.6348892466530905, 0.1392809202081844, 0.6177348870236793, 0.14826212802726552, 0.7604354753848516, 1.5681979422456225, 1.662141727251208, 1.1666231502592004, 0.17574282635496044, 1.1661719676251188, 0.1976964838221802, 0.19659677838661796, 0.5855180648705651, 0.3047692077479397, 0.9122882067751807, 0.3517200853085432, 1.605065475379035, 0.349905017660604, 0.7018168354984438, 1.4087490056819387, 0.6333515321397474, 1.3885474817821188, 1.5031528243547991, 1.5180641144246332, 0.632330126895123, 1.0233330218428445]"
29,17.06065377068723,19.661061571004407,2.600407800317175,-2.6004078003171323,"[-0.09098223230544655, -0.2101713087408763, -0.1302231034778687, -0.0012631267673084423, -0.13616667158687812, -0.007800962956717061, -0.003188733531842347, -0.005592806245728887, -0.10166272414055777, -0.0013070874074773142, -0.1491392192491543, -0.07063184436491876, -0.057065092026686415, -0.004532461409699096, -0.00060071142025242, -0.0004345528144888977, -0.019128084310922944, -0.08931615704930951, -0.05668286664824543, -0.16734308442815093, -0.07064488918337919, -0.0187911733789079, -0.38131051877730293, -0.12468069934996318, -0.03957652283934188, -0.01041999929552695, -0.020527905369091215, -0.005370854465395647, -0.01131536063793881, -0.0033434207358855605, -0.0026547512487770097, -0.007533817805556842, -0.24741067762301938, -0.003817974658935963, -0.0021186043132011, -0.0003592207004721182, -0.08319012248831315, -0.0030575005120452303, -0.0006801464193779694, -0.00018222452296651204, -0.0059743814604771295, -0.01915862851370065, -0.0009681479339525012, -0.0003790334553304131, -0.0017305750157869948, -0.010303672679758069, -0.0011929434574846631, -0.07502880624747532, -0.008361070108620527, -0.13709132623661646]","[0.0, 0.06781458288030373, 0.28729535982396526]","[1.0, 1.0, 1.0]","[0.0, 0.008750830085415875, 0.008750829900871563]","[2.2055828555918415, 0.6226946095209944, 1.725865951734687, 0.7383063992493379, 0.8084018613659799, 0.3476686228660776, 0.7259824447134364, 0.37306231852659044, 1.5814695967085617, 2.1180915159652014, 2.251377581090084, 1.537857902187934, 0.5404896002642358, 1.9216327638361939, 0.6792503303267723, 0.6759149982157123, 1.3306818105532063, 0.749876944447348, 1.1643151243276022, 0.9991936120214299, 2.187891433165354, 0.9957301918521937, 1.107276984195008, 1.8901236106638488, 1.2404415880394115, 2.0696470856754026, 2.1391181330916993, 2.0530404223440892, 1.4048397391422265, 1.1482265520906896]"
30,18.652884789780483,19.661061571004407,1.0081767812239235,-1.008176781223881,"[-0.026061627464780912, -0.007973742390086969, -0.0027792914817026393, -0.0002478558617617921, -0.017763205098703994, -0.0036367662275944568, -0.00318857861948052, -0.003611514793588455, -0.003088031883445197, -0.00027443801567028636, -0.005563898514962862, -0.002286071703954784, -0.05706722170529366, -0.004533027537847456, -0.0006937312185544275, -0.073313183994968, -0.005486620651801388, -0.030956248552711174, -0.003562222255891312, -0.20356224464364936, -0.000580934753684037, -0.01878166261065184, -0.06591880123626392, -0.011679177513025163, -0.004034967173666804, -0.0018219902150171663, -0.01794394162470736, -0.0011764179785387352, -0.009425301091001592, -0.0006992802015770572, -0.0005710285362813261, -0.007532941298345142, -0.008617398233013773, -0.07720200636187169, -0.15944454897290283, -0.00031030827808753436, -0.1079423459733202, -0.013379731137701967, -0.0038682339566489254, -0.00020590251387758718, -0.006005562543013987, -0.004800359769958629, -0.004548015364375102, -0.00032622307906593484, -0.007081181035815787, -0.00258589899135786, -0.0011934242126026007, -0.002130557906223407, -0.008358065262178638, -0.004361050782654807]","[0.40572827128662853, 1.0, 0.0]","[1.0, 1.0, 1.0]","[0.0, 0.06225893921860178, 0.06225893790563685]","[3.0007320939420645, 1.215623198836039, 1.0426453092610506, 0.3482229093856029, 0.6458249324633837, 0.3674480050108318, 0.3920565053603795, 0.17942011826284276, 1.287716423681372, 1.707070805048248, 1.7905308893471714, 1.6234531431812875, 0.4743755718049062, 2.0582868779575985, 0.628949713620609, 0.6313296156439835, 2.1479419483659035, 0.9831290652737767, 0.7286853752016416, 1.224840910771619, 2.357996040357488, 1.2248036673331715, 0.5864467706619934, 2.278879397519657, 0.6467916183325375, 2.5109695034695907, 2.752036042274328, 2.6339773154067454, 1.7857449838916042, 0.6525323278043627]"
